email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@damentransport.nl;;;;0;;;0;40;new;;ai_knowledge;2026-03-18 10:29:16
info@vangansewinkel.nl;Van Gansewinkel;afvalverwerking;Nederland;380;;www.vangansewinkel.nl;60;92;discovered;;ai_discovery;2026-03-23 09:09:06
info@sita.nl;Sita;afvalverwerking;Nederland;320;;www.sita.nl;60;91;discovered;;ai_discovery;2026-03-23 09:09:06
info@aeb.nl;AEB;afvalverwerking;Nederland;280;;www.aeb.nl;60;90;discovered;;ai_discovery;2026-03-23 09:09:06
info@circulus.nl;Circulus;afvalverwerking;Nederland;72;;www.circulus.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@defryskegea.nl;De Fryske Gea;afvalverwerking;Nederland;65;;www.defryskegea.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@aebamsterdam.nl;AEB Amsterdam;afvalverwerking;Nederland;110;;www.aebamsterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@hvcnet.nl;HVC;afvalverwerking;Nederland;88;;www.hvcnet.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@fiwaz.nl;Afvalscheidingsbedrijf Fiwaz;afvalverwerking;Nederland;52;;www.fiwaz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@bergmanrecycling.nl;Bergman Recycling;afvalverwerking;Nederland;67;;www.bergmanrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@afvalverwerkingcl.nl;Afvalverwerking Limburg;afvalverwerking;Nederland;89;;www.afvalverwerkingcl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@cleanaway.nl;Cleanaway;afvalverwerking;Nederland;105;;www.cleanaway.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@schenk-recycling.nl;Schenk Recycling;afvalverwerking;Nederland;61;;www.schenk-recycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@ecoloop.nl;EcoLoop;afvalverwerking;Nederland;55;;www.ecoloop.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
